location,population,total_cases,infection_rate
Cyprus,896007,"     660,854",73.75545057125669777100
San Marino,33690,"      24,760",73.49361828435737607600
Brunei,449002,"     312,524",69.60414430225255121400
Austria,8939617,"   6,081,287",68.02625884308019012400
South Korea,51815808,"  34,571,873",66.72070615978814804900
Faeroe Islands,53117,"      34,658",65.24841387879586573000
Slovenia,2119843,"   1,346,628",63.52489311708461428500
Gibraltar,32677,"      20,550",62.88827003702910303900
Martinique,367512,"     230,354",62.67931387274429134300
Andorra,79843,"      48,015",60.13676840800070137600
Jersey,110796,"      66,391",59.92183833351384526500
Luxembourg,647601,"     385,445",59.51890129879354726100
Saint Pierre and Miquelon,5885,"       3,426",58.21580288870008496200
Denmark,5882259,"   3,417,017",58.09021670076071114900
France,67813000,"  38,997,490",57.50739533717723740300
Iceland,372903,"     209,286",56.12344228928166306000
Guernsey,63329,"      35,326",55.78171138025233305400
Portugal,10270857,"   5,629,824",54.81357592652687112700
Liechtenstein,39355,"      21,507",54.64871045610468809600
Latvia,1850654,"     976,428",52.76124008053369241400
Greece,10384972,"   5,443,008",52.41235123214583534700
Guadeloupe,395762,"     203,235",51.35283326847954073400
Israel,9449000,"   4,840,714",51.22990792676473700900
Reunion,974062,"     494,595",50.77654194496859542800
Switzerland,8740471,"   4,418,749",50.55504445927456312100
Saint Barthelemy,10994,"       5,507",50.09095870474804438800
Georgia,3744385,"   1,855,289",49.54856404990405634000
Netherlands,17564020,"   8,620,051",49.07789332965915547800
Lithuania,2750058,"   1,338,442",48.66959169588423226000
Seychelles,107135,"      50,937",47.54468661035142577100
Bahrain,1472237,"     696,614",47.31670240593056688600
Singapore,5637022,"   2,641,196",46.85445612949532572300
Monaco,36491,"      17,090",46.83346578608423995000
New Zealand,5185289,"   2,397,437",46.23535930205625954500
Germany,83369840,"  38,437,756",46.10510947364178700600
Cayman Islands,68722,"      31,472",45.79610605046418905200
Estonia,1326064,"     602,478",45.43355373496301837600
Isle of Man,84534,"      38,008",44.96179052215676532500
Czechia,10493990,"   4,665,557",44.45932386060973947900
Italy,59037472,"  26,230,177",44.42970898211901756200
Australia,26177410,"  11,629,977",44.42753121871109479500
Bonaire Sint Eustatius and Saba,27052,"      11,922",44.07067869288777169900
Nauru,12691,"       5,393",42.49468127019147427300
Cook Islands,17032,"       7,168",42.08548614372945044600
Aruba,106459,"      44,224",41.54087489080303215300
Belgium,11655923,"   4,817,196",41.32831007891867508000
Montenegro,627082,"     251,280",40.07131443734631196600
Barbados,281646,"     110,091",39.08843015700560277800
Marshall Islands,41593,"      16,138",38.79979804293991777500
